epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_f1,lr
1,0.42336025834083557,0.7869110204820396,0.4062869052380405,0.3840188682079315,0.8326930351819926,0.47884875255888365,0.001
2,0.3677609994340299,0.8426835491105505,0.524756646357403,0.3672954466413049,0.8557493911923093,0.5140580419722343,0.0009990133642141358
3,0.34786387566310256,0.8598005080300414,0.5578929425378252,0.34331517885713014,0.8690297396902278,0.5664874019186212,0.000996057350657239
4,0.3348663092326762,0.8711331182339466,0.6005563110352318,0.3351944264243631,0.8742829355840218,0.5809283232745877,0.0009911436253643444
5,0.32393465613696115,0.879086850780286,0.6257155184068315,0.32517125764313864,0.8795182686137544,0.5943115656503198,0.0009842915805643156
6,0.31548051597244703,0.8837908422032672,0.6366537682051161,0.35333845632917743,0.8771624485694856,0.5596198620210309,0.0009755282581475769
7,0.3068577933000095,0.8899409605978242,0.6493067834206451,0.32052191828980164,0.8859681395366424,0.6417857298095673,0.0009648882429441258
8,0.2997696269025554,0.893925103739775,0.6559486004540644,0.31541967567275553,0.8835968696850852,0.652721885947221,0.0009524135262330099
9,0.2978538728472012,0.8959173685913575,0.6645923135014236,0.3138441995662801,0.8867522562840835,0.6460855931652768,0.0009381533400219318
10,0.2937515806684743,0.8979459794109502,0.6666376688522321,0.3100169853252523,0.8885273875209758,0.6389430505454419,0.0009221639627510075
11,0.28844654510047896,0.9012517320073747,0.6766403531429963,0.3163081951001111,0.8876562396465223,0.6544362664267276,0.0009045084971874736
12,0.28674854277007616,0.9032865499472956,0.678171355027386,0.32806388332563285,0.8857071048858709,0.6677102062575657,0.0008852566213878945
13,0.2834484264143367,0.9049103688888653,0.6861522411688219,0.3347906991839409,0.8907799372811598,0.6056973727843065,0.0008644843137107056
14,0.27855702956665807,0.9085462961700668,0.6917347623124878,0.30676187399555654,0.8912208007314689,0.6658426397313075,0.0008422735529643443
15,0.2759695445646101,0.9099403605220786,0.6983665005574398,0.31588541935471925,0.8896517713298845,0.6639073814420311,0.0008187119948743448
16,0.2745410076050616,0.9103558902683095,0.698848014033155,0.31235945706858353,0.8939356291732,0.6492699435756129,0.0007938926261462366
17,0.2692468474382785,0.9133770611299733,0.7049348345940759,0.32520902375964555,0.8914390261924863,0.6590690270402685,0.0007679133974894982
18,0.26552054347164594,0.915770723264733,0.7075691733394827,0.3064585091436611,0.8934405857384015,0.6641673883139718,0.0007408768370508576
19,0.2620351121608001,0.9178545553529925,0.7166907771221054,0.31065989548669143,0.8937929165963103,0.6667586430998381,0.0007128896457825362
20,0.2578175675068329,0.9201115906492967,0.7218759354165758,0.3092950214357937,0.8921095468242862,0.6518806695320448,0.0006840622763423389
21,0.2536520913465699,0.9221702763452333,0.7258190269097881,0.3167124999796643,0.8914545831301102,0.6582036075521784,0.0006545084971874735
22,0.2508167734008227,0.9235644744938876,0.7270189511090925,0.34342537732685313,0.8903997239362302,0.6689925966163146,0.0006243449435824271
23,0.24609202624701743,0.9261171658746921,0.7350378794115225,0.3242923718164949,0.8924193250361174,0.6578290792509738,0.0005936906572928622
24,0.24010463231312695,0.9295069159941569,0.7435537037966904,0.3324194717056611,0.8883580489327955,0.6291944395503068,0.000562666616782152
