epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_f1,lr
1,0.429329390559241,0.7790574908148049,0.3779704445128526,0.4146042399936252,0.829576404649884,0.47288712459899795,0.001
2,0.390199939725555,0.8238324911791656,0.5026300221078348,0.39598796588403207,0.8438199373969356,0.5547728417168563,0.000996057350657239
3,0.3693266325186346,0.8428327849867905,0.532142238354518,0.3510178569290373,0.8570492328854262,0.5352496582273173,0.0009842915805643156
4,0.3602827724591594,0.8505848361394373,0.5389608369620938,0.3564958178334766,0.8561265133487076,0.5478913110725883,0.0009648882429441258
5,0.3543014835949256,0.8554532380050347,0.5447240983493142,0.36064935900546885,0.862495880829704,0.5276502136129781,0.0009381533400219318
6,0.34693232107663824,0.860082552832133,0.5590868509682334,0.340259438973886,0.8658752782886209,0.5622575101286315,0.0009045084971874737
7,0.34130382562909173,0.8647696546010426,0.5633272994070728,0.34253539354712875,0.8675333830105233,0.54534992380838,0.0008644843137107057
8,0.3338832587003708,0.8717359091873476,0.5803055679889951,0.3378976306429616,0.8724420107894207,0.5579581356910667,0.0008187119948743448
9,0.32209641572749503,0.8799673987892268,0.5984831571970014,0.32886925273471407,0.8762718735395584,0.5805159246153639,0.0007679133974894982
10,0.31504907062120524,0.8856623536900301,0.6085510641206611,0.32421454091866814,0.8809882441227567,0.5978516186880702,0.0007128896457825362
11,0.30945066772053176,0.8895307106813005,0.6194636040237466,0.3191545261277093,0.8816720454881948,0.6027151301542348,0.0006545084971874736
12,0.3042163309928413,0.8942397610951696,0.6346954487737839,0.314949073780466,0.8855696259000359,0.6281775838838553,0.0005936906572928624
13,0.2971188800983897,0.8987348404680775,0.6436901542432234,0.3198576052983602,0.8877191513252685,0.6266341464048115,0.0005313952597646568
14,0.29406701782457184,0.9007255511963754,0.649058866862384,0.32194212205983974,0.8872900147728675,0.6119912724936076,0.00046860474023534336
15,0.2858531900655443,0.904381584951383,0.6561284957055011,0.3203224268776399,0.887394181436056,0.6383254509389051,0.0004063093427071377
16,0.2800183458166702,0.9088631404713796,0.6657306390687949,0.31269018716282315,0.8918056637548244,0.6233149747375991,0.00034549150281252644
17,0.2733457748717237,0.9125842759544769,0.6749449916337895,0.31559798535373473,0.8916565411219644,0.620246009556013,0.00028711035421746366
18,0.26688769793259765,0.917034975841311,0.6815258456863895,0.32481598633306996,0.8914527381711869,0.6079538977891114,0.00023208660251050156
19,0.2608170433788099,0.9192990852189397,0.6950031927388549,0.3216994744760019,0.8884120525980013,0.6405320354892261,0.00018128800512565513
20,0.2544333865152341,0.9232094135684482,0.7022566790534452,0.32467990501059424,0.8889956712485496,0.6235206484237981,0.00013551568628929433
21,0.24980662575809756,0.9254787781609923,0.7069035998821915,0.32125178884576866,0.890956994496096,0.6504504809249847,9.549150281252634e-05
22,0.24617278156018702,0.9272317545039869,0.7152925332759595,0.31865761440109325,0.8909005530071876,0.6478516384194472,6.184665997806823e-05
