epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_f1,lr
1,0.42938822935396265,0.7790354956177552,0.35739807756958575,0.3987168801051599,0.8174532474164129,0.3635109730060071,0.001
2,0.40690260911099263,0.8020416146389533,0.3993433167046452,0.3993990125479522,0.8181992966808483,0.3864677304520233,0.000996057350657239
3,0.39959865453365806,0.8089201860112898,0.43220278526223643,0.4212203276378137,0.8238098947389603,0.4363947028263476,0.0009842915805643156
4,0.39642871458118206,0.8114685658638324,0.4466059928408453,0.38872407023553496,0.8237710595284012,0.4667420781508291,0.0009648882429441258
5,0.3882229303088144,0.8188880663377571,0.46004880803651027,0.3826431403557459,0.829275637424464,0.4582050040293856,0.0009381533400219318
6,0.3825348839024517,0.8206341598942452,0.4760687441308347,0.4111747291353014,0.8195370456495891,0.44895373099825386,0.0009045084971874737
7,0.38014843509854557,0.8244124332906514,0.482468829480148,0.4383640518894902,0.7873338741247693,0.3751009506376701,0.0008644843137107057
8,0.37699647582022944,0.8270722033345569,0.4920445098074824,0.38571736602871504,0.8273359783668865,0.48178650245020177,0.0008187119948743448
9,0.37363422149531195,0.8291735878396906,0.5004876770306759,0.3771035731942565,0.8271885251333746,0.49478833548909507,0.0007679133974894982
10,0.36968053263203005,0.8312638895693512,0.5036846297399391,0.37462794891110174,0.8308585669159623,0.4967910353629642,0.0007128896457825362
11,0.36598797648031023,0.8339081583826446,0.5126279571047293,0.38152767806141463,0.8280887708639201,0.4668849426177003,0.0006545084971874736
12,0.3626849518618851,0.8378551701570445,0.5178361330975623,0.3762190951241387,0.8321568268183279,0.5071701803569033,0.0005936906572928624
13,0.36168421207465856,0.838239653518879,0.5230155566822187,0.37675118479463787,0.8326833862460921,0.5195145149645922,0.0005313952597646568
14,0.3574947765636667,0.8407831589858062,0.5276902143267483,0.3847347804793605,0.8333334292011756,0.4982196785154745,0.00046860474023534336
15,0.35412176375355675,0.8430869449563708,0.5301095937088782,0.3699817262313984,0.8346766273612152,0.5159096879638074,0.0004063093427071377
16,0.3465370563424636,0.8514792415164407,0.5456898307490381,0.35914769227857946,0.8472853690238079,0.5263696714845275,0.00034549150281252644
17,0.3315973892947224,0.8691148409131764,0.5650196344035321,0.3394736264590864,0.863972420949961,0.5497447404169548,0.00028711035421746366
18,0.320833372624121,0.8772299866922886,0.5772109580735468,0.35032742222150165,0.8601883216345201,0.5566083351487922,0.00023208660251050156
19,0.31342418170142394,0.8828424205684877,0.5852182763347281,0.3415836549467511,0.8661935409736279,0.5656364555036851,0.00018128800512565513
20,0.30608869147634954,0.8863699753188662,0.5940940694445935,0.33998781078391604,0.8675013824059346,0.5784408822939499,0.00013551568628929433
21,0.30071563636448895,0.8906322178378192,0.5978665914496677,0.3371708442767461,0.8690039428856899,0.5809222759825101,9.549150281252634e-05
22,0.2991686971597025,0.8920431314214058,0.6035951207333774,0.3391353980258659,0.8679562301937664,0.5755887068398762,6.184665997806823e-05
23,0.29396742785645424,0.8948635707167247,0.6079446749159054,0.33765317477561807,0.8686949276569826,0.5839317307464285,3.511175705587433e-05
24,0.291432660469942,0.8959612114897851,0.6121772959386329,0.33968257870939045,0.8683487742896091,0.5817821132731351,1.570841943568452e-05
25,0.29257944424018684,0.8957515778152843,0.6113920225839766,0.3409057919625883,0.8683964530868856,0.5803985474907998,3.942649342761118e-06
