name,macro_auc,macro_f1,auc_drop,f1_drop,val_macro_auc,val_macro_f1,test_loss,best_epoch,train_time_sec,params,override
full_6block,0.8733026801913537,0.5806829829479793,0.0,0.0,0.8721095084508086,0.5866459687711795,0.33668431902632995,23,701.37,3845278,{}
no_dae,0.907360659553544,0.6763484869613153,-0.03405797936219024,-0.09566550401333607,0.911097817856082,0.6746852595986903,0.2905523183700793,17,486.32,1656018,"{""use_dae"": false}"
no_residual,0.8382531148707031,0.5112828203443707,0.03504956532065062,0.0694001626036086,0.8396683219913793,0.5199197382240351,0.3775116959038903,23,680.3,3845278,"{""use_residual"": false}"
no_attention,0.8994277803200352,0.6580550520145927,-0.026125100128681522,-0.07737206906661342,0.8928872063409632,0.6564854821088744,0.30037936075207067,16,580.31,3828765,"{""use_attention"": false}"
no_vae,0.8704114251573193,0.5712485635431372,0.0028912550340344234,0.00943441940484202,0.8690039428856899,0.5809222759825101,0.3363016928162645,21,623.58,2680018,"{""use_vae"": false}"
gru_instead_lstm,0.8932711988600625,0.6357620575328624,-0.019968518668708746,-0.05507907458488315,0.8918056637548244,0.6233149747375991,0.3088063107913031,16,570.05,3795614,"{""rnn_type"": ""gru""}"
unidirectional,0.8927267652456801,0.6345355993846501,-0.019424085054326357,-0.05385261643667083,0.8891484974674124,0.630709557506581,0.3054664167849457,24,611.68,3721374,"{""bidirectional"": false}"
minimal_supported,0.8998397977225061,0.6853971952269167,-0.0265371175311524,-0.1047142122789374,0.8971921477432241,0.6808485789303972,0.2967023968915729,21,347.29,474245,"{""use_attention"": false, ""use_dae"": false, ""use_residual"": false, ""use_vae"": false}"
