epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_f1,lr
1,0.43385738123263884,0.7715101595360185,0.3285183382682695,0.400687253650497,0.8148052874190336,0.3600884727596811,0.001
2,0.39739402861737494,0.812430789803615,0.4514095953037705,0.4206034821622512,0.8128389243725651,0.38383881395635083,0.0009990133642141358
3,0.3814925002073174,0.8251916925802343,0.5009627496360712,0.3837106070097755,0.8313605057412842,0.5264429931704144,0.000996057350657239
4,0.3705670497755506,0.8386792301476722,0.5169707364135407,0.41023000198252063,0.8370412479629981,0.5128189848603621,0.0009911436253643444
5,0.35705616113854877,0.8535156848571974,0.5392052140272385,0.3660697086768992,0.8600183078927103,0.4848169219018679,0.0009842915805643156
6,0.3437214436482138,0.861499927994898,0.5560993083515438,0.34776881731608333,0.865432386367571,0.5602586860900487,0.0009755282581475769
7,0.3368399472378973,0.8685668996869573,0.5654360886771378,0.3384807000265402,0.8665354250677968,0.5721758077642696,0.0009648882429441258
8,0.3281961119553046,0.8741874161276642,0.5789922473124534,0.36642499005093293,0.8661105023725597,0.5465284685545571,0.0009524135262330099
9,0.3212529244040375,0.8804870523466821,0.6024398953983108,0.3411784851375748,0.8764292097392156,0.5650845982919848,0.0009381533400219318
10,0.31086109089317604,0.886903770104548,0.6159391021381414,0.3572138350676088,0.877577118819328,0.5439221165704904,0.0009221639627510075
11,0.30413259282263355,0.8922039134946204,0.629223378856183,0.3266281419817139,0.8813212517966219,0.5825583803299919,0.0009045084971874736
12,0.29976429267605736,0.895363153457519,0.6343455481399315,0.3388691789963666,0.8830771587428371,0.6737314835912599,0.0008852566213878945
13,0.2936608646231801,0.8992474249698656,0.6537795268046012,0.34998731096001234,0.8869248292297358,0.573223279996579,0.0008644843137107056
14,0.28899810857959646,0.90255671687024,0.6611321056481898,0.3254322409629822,0.8877631118784459,0.6003641971257399,0.0008422735529643443
15,0.2862080556354416,0.9043809514072789,0.6699525307614346,0.33248494434006076,0.8847665660010511,0.62764646722762,0.0008187119948743448
16,0.28459832722793765,0.9055859489169119,0.6699082886773138,0.3417574171634281,0.8870606716277061,0.6062672780244436,0.0007938926261462366
17,0.27867046070855056,0.9088742382462349,0.6779857743835617,0.31685954595313354,0.8871392238904422,0.6693411320707611,0.0007679133974894982
18,0.2743996036475274,0.9116371523314386,0.6898385533396066,0.327353496761883,0.8891302811651682,0.6376514332558836,0.0007408768370508576
19,0.2729362655264228,0.9122886802014479,0.6863068863342154,0.34842770897290287,0.8852127901895572,0.6304726673489043,0.0007128896457825362
20,0.2693051986618718,0.9149769334204778,0.6932500407629977,0.35002875152756185,0.8883918745423577,0.5749332613299325,0.0006840622763423389
21,0.26462998841680696,0.9172220572568298,0.7010462068968698,0.31769834108212414,0.8897138612577045,0.6676303587325851,0.0006545084971874735
22,0.2611367795894395,0.919259388865046,0.7061434951056318,0.3598022973712753,0.8868053252295827,0.6457717115606558,0.0006243449435824271
23,0.2547954337587997,0.923391972177855,0.7127629956909896,0.4298155754804611,0.8823865979730254,0.4877557952358843,0.0005936906572928622
24,0.25112025812268257,0.925074572857094,0.7196557728595445,0.35205937878173943,0.8859082982657679,0.6079241960800891,0.000562666616782152
25,0.24718660633288211,0.927004442122002,0.7213574294110754,0.37630750589510975,0.8845141636599646,0.5692094855871807,0.0005313952597646566
26,0.24377173229829588,0.9286785377549542,0.725901581996043,0.32995836086132946,0.8859730232355986,0.6663814482437357,0.0004999999999999998
27,0.23842799563461275,0.9308312359418484,0.7308792990808872,0.33191105109803815,0.8898466387247822,0.6529655190409385,0.00046860474023534314
28,0.23385503254274823,0.9335600382860996,0.7334778584502116,0.49924053514704986,0.8776804062259604,0.4406329450898405,0.00043733338321784774
29,0.22639683033548183,0.936721789795031,0.746453617138432,0.3436178990146693,0.8856897991270429,0.6629592680300834,0.00040630934270713756
30,0.22112965105629678,0.9401080565971451,0.757396604919703,0.346948104307932,0.884023281769788,0.6488273717863284,0.00037565505641757246
31,0.21785367686134666,0.9406403671599077,0.7571322028283587,0.3584664871587473,0.881244690728742,0.6263200615261761,0.00034549150281252633
32,0.2130255142588224,0.942727896725103,0.7620975453639547,0.36748770887360854,0.8804642808644332,0.6449924645025087,0.00031593772365766105
33,0.2059210756543412,0.945552461237857,0.7701804598083037,0.3743092799011399,0.8825437327403238,0.6511614516104656,0.00028711035421746355
34,0.2004578145526683,0.9474381563134312,0.7762766608517826,0.37401289887288036,0.8751085391714912,0.6264836516398955,0.0002591231629491422
35,0.196075207929113,0.9492657969817531,0.7800332679517588,0.39563654889078703,0.8758487001939649,0.6270625943877601,0.00023208660251050145
