epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_f1,lr
1,0.3891987880395952,0.8274396726585256,0.5030783524261733,0.34758948661662914,0.861600252084644,0.539545523248227,0.001
2,0.3415889130365626,0.8655599888717582,0.5873083637684673,0.34309842001508783,0.872971822197861,0.585420202526984,0.000996057350657239
3,0.32289663486391584,0.8796467677188862,0.6283778728275536,0.3188856409655677,0.8796274581289267,0.6215551676402995,0.0009842915805643156
4,0.314736133813858,0.8867257611887366,0.6462241973244095,0.32577990315578603,0.8848826521088451,0.6174471837787092,0.0009648882429441258
5,0.307018158751949,0.8921558753210341,0.6605822981717691,0.3078342682785458,0.8929555184717255,0.6300936392124068,0.0009381533400219318
6,0.3000537190760407,0.8980507377677348,0.6691653377149465,0.30231334589145803,0.895323049903072,0.6563751036215667,0.0009045084971874737
7,0.29427889705957655,0.9014508740751079,0.6761459512016783,0.3073526244472574,0.8967261851888308,0.6599382396790332,0.0008644843137107057
8,0.28923008944665163,0.9054333723157957,0.6822770501220597,0.2985236973674209,0.9004480957263639,0.6840801167857056,0.0008187119948743448
9,0.2846714924707591,0.9083364497198263,0.6911641750580195,0.32081831908888286,0.8971201715136523,0.6543836188932024,0.0007679133974894982
10,0.2798388778815203,0.911947236240603,0.6928699399905696,0.3049415981328046,0.9003549558603275,0.6596730370211114,0.0007128896457825362
11,0.2751944185835179,0.9150409697939921,0.6989020927644444,0.29397827806296173,0.9046678873284794,0.661778672628224,0.0006545084971874736
12,0.26950678446582543,0.918557509474946,0.7064760960541976,0.30798398504654567,0.9063567450074643,0.6328711673788219,0.0005936906572928624
13,0.26489039846112794,0.9219044701401587,0.7121748017099453,0.29107220509537945,0.908354260659426,0.6949361135585945,0.0005313952597646568
14,0.26135968568029805,0.9236280926702817,0.7189708908084695,0.3008954879310396,0.9042354379834302,0.6708550677480998,0.00046860474023534336
15,0.2567196474454113,0.9258892936325692,0.7251622482972907,0.2925123917283835,0.9104768100684275,0.6758394972760003,0.0004063093427071377
16,0.2507641779554782,0.9299254055009062,0.7299121132685259,0.2988359700198527,0.90956298557842,0.6722886592843809,0.00034549150281252644
17,0.24528094956250948,0.9325380846249341,0.7405689833357023,0.2902998552278236,0.911097817856082,0.6746852595986903,0.00028711035421746366
18,0.24116702604447013,0.9347846821239816,0.7433264523695569,0.29813977192949365,0.9071383083869641,0.6828976359298977,0.00023208660251050156
19,0.2349243235434884,0.9377067248397826,0.748342563553695,0.2972976454430156,0.9106050746536303,0.6830434509822556,0.00018128800512565513
20,0.22848293280629353,0.941624945662153,0.7560852790868113,0.29723398216344693,0.9110202847360502,0.6914890762993389,0.00013551568628929433
21,0.22494578546034955,0.9423390861526775,0.7622260558955803,0.2990079562973093,0.9095317435726153,0.6918390237355597,9.549150281252634e-05
22,0.21814093101665238,0.9460353477640743,0.7683361478904667,0.30501510522983694,0.909248002650424,0.6931927909628977,6.184665997806823e-05
23,0.21564806083513197,0.9466603142437954,0.7715322993310478,0.29921499888102215,0.9105937018895665,0.6943192909210265,3.511175705587433e-05
